	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679857_20A.CEL	GSM679858_3B.CEL
205765_at	3.82301364437065	4.60006905724588	3.64287597388558	3.48974104628229	3.73438684451388	3.48974104628229
205766_at	3.91374855651356	4.12841033784109	3.71672495790854	3.96823161448139	3.65086941707682	3.77053260988358
205767_at	2.34406488249063	2.48459059127444	2.44159033789701	2.4102689368287	2.42667124054042	2.44942160433924
205768_s_at	3.38799986272462	3.46255839412781	3.78748365784494	3.55264593716104	3.33850528812528	3.18802827666074
205769_at	3.30397047474709	3.40224018640321	3.36554920010938	3.53885912058962	2.89124550546098	2.94663311404387
205770_at	7.3673557581654	7.37953762519672	7.42606039630229	7.68562701993587	6.2073404938036	6.30502852458242
205771_s_at	10.5198677183609	10.7592520127597	10.5686153473376	10.4539416203001	8.66792811558544	8.45182447271879
205772_s_at	3.19100953564278	3.34778351622653	3.19100953564278	3.29639544099415	3.19100953564278	3.37231769839368
205773_at	3.42055267023712	3.38852248994058	3.25063281286296	3.05390380989221	3.44898061226389	3.29130168630024
205774_at	4.62053685979428	4.97821862494865	4.63412711237857	4.56422222081937	4.7277235270894	4.95043726570237
205775_at	7.83978792853573	7.68356367896508	7.74857654142949	7.84104782399497	7.96890716951447	7.78161992885981
205776_at	2.92747954015621	2.93766115148134	2.92793008916052	2.92793008916052	3.16396252735241	3.05434559694038
205777_at	4.81800815379809	4.97051831219295	4.642984765032	4.83952922044582	4.87550475763643	4.70799354518029
205778_at	4.52443051135772	4.25530732697422	4.06608566358507	4.21249810480161	4.22163044276886	3.92143022520488
205779_at	4.4269889078823	4.66587932101237	4.34881495841068	4.7497425668438	4.34887138388864	4.62479778815402
205780_at	4.69688319365222	4.51705986846779	4.58913331635792	4.51705986846779	4.31224013427602	4.39766755269882
205781_at	4.81269711353909	4.99202744894319	4.39827367095013	4.59255785483814	5.09076301764684	5.40941189403824
205782_at	3.29605431706915	3.32385085331391	3.21475213658371	3.21313304137483	3.29443522186026	3.10958468816388
205783_at	4.13561009852719	4.36363808802217	3.96279015333743	4.24765690421435	3.99814673086969	3.97182901679409
205784_x_at	5.93810877135126	6.03308345527557	5.97402977577219	5.93059162083107	6.27618834501097	6.00772182656579
205785_at	4.04604837589693	4.21858893202487	4.119841368249	4.27832365678596	4.14474086481666	4.27214337482452
205786_s_at	3.14691406449824	3.27560726699904	3.1526922938742	3.11094672825638	3.23862964344936	3.1526922938742
205787_x_at	6.28667562421903	6.62092240286798	6.58803274362408	6.89085615433647	6.68901383698691	7.43984233765966
205788_s_at	10.2106217558299	10.487490581011	10.2953001808708	10.0493838948253	10.756849530039	10.6258902404509
205789_at	3.69749549406024	3.10866645484618	3.48914035666874	3.46232631409493	3.69916516147703	3.95806450066211
205790_at	4.02474368267342	4.21012540397507	4.06783943441432	4.31597056345219	4.63435921498061	3.99371398859512
205791_x_at	4.97790696466417	5.05129566520205	5.09722509789791	5.12595933803845	5.53093192613524	5.3314239867913
205792_at	3.89878093687605	3.70910340834813	3.77784242197349	3.93910442976523	3.86452891242882	3.72121109059505
205793_x_at	4.02806831142516	4.34267658753192	4.22301359133064	4.1892830615081	4.08621530116511	4.3782604622424
205794_s_at	4.25180518521124	4.27241658328093	3.65234664172166	3.83365166339685	5.08360099983686	4.70135616457867
205795_at	3.05870253451598	3.13930652234846	2.9958658573337	3.27630882965706	2.984683793262	3.10522222415264
205796_at	8.43838522551696	8.21888333799643	8.58084994166733	8.10704343130431	8.97096815961622	8.92666369848734
205797_s_at	7.38886738546231	7.02209001514277	7.36484005437583	7.35061987185207	7.97567428709894	8.01161235698958
205798_at	6.09244762829365	5.82244818581457	6.27963322036303	6.45028146272616	7.09846023718563	6.97556088675528
205799_s_at	3.69443883508581	3.47227538471934	3.3977355453059	3.21012011503412	3.80097074101027	3.68090178461735
205800_at	3.73166649248656	3.72882042026953	3.73229190750255	3.68772368348376	3.73726671818214	3.67709128009398
205801_s_at	2.78628676980924	2.74821907743779	2.59776506108833	2.57900927770854	4.06389346995166	3.51100284733779
205802_at	4.55128878089496	4.04384291931859	4.52789886442432	4.18453087624679	7.04308987281539	6.48189574112997
205803_s_at	3.94935885234474	3.54437689936948	4.11106021419788	3.88787365826894	6.38046847455678	6.06348954217492
205804_s_at	3.94747495889587	3.84592750713015	3.48084225105831	4.06703112713532	3.58900888657211	3.07583943670866
205805_s_at	6.57644848764405	6.54805318833276	6.59056800473692	6.16714425504425	7.65781859048847	7.88243309563754
205806_at	4.31577037052286	4.62021993940586	4.55355586671226	4.8483176292264	4.66350301757586	4.66509187412035
205807_s_at	7.75868212309874	5.95405359549451	8.08336015812623	7.72396392350274	7.87854866793028	7.74284877667254
205808_at	5.2534924763894	5.09778913675671	5.05195838896726	5.13621911498167	5.26317097687906	6.21513296082117
205809_s_at	5.75549060897426	5.69643635303823	5.97251864799043	5.94869990682296	6.11449937864961	7.15612891541586
205810_s_at	5.71530158271709	5.62730815895335	5.49938719874028	5.72070383061862	5.5494399141647	5.61388802876781
205811_at	7.03481319469546	7.06879499354606	7.03565373621309	7.11218017030943	6.48636618471478	6.45183277928789
205812_s_at	10.4481618941231	10.4130696764149	10.489071021324	10.4119369660962	10.9383930405282	10.8678353226331
205813_s_at	5.30374376903099	4.97918692592728	4.78273583241328	5.26651509451048	5.3004600104544	4.91327851133568
205814_at	3.81869756963419	3.80731328076604	3.62860143528575	3.77326010567305	3.91021026359284	3.70044454318168
205815_at	2.82021384155079	2.97212132050639	2.96346989914003	3.01881464340409	2.926573402964	2.94502165105202
205816_at	2.92708081691989	2.80561653780458	2.86240354768129	2.839242324679	4.18099081257644	4.70799354518029
205817_at	6.63325895822419	6.77160454893311	6.6843023030172	6.40470829531299	7.94591449289831	7.68074943485225
205818_at	3.77311132717301	3.87732596382025	4.08192412355776	3.95921737124726	3.97274387930761	3.7972095270629
205819_at	3.92922672097725	3.94105206432045	4.13270388729517	4.16937076076049	4.14117719726857	4.10631842787791
205820_s_at	4.14117719726857	3.89127727143772	3.88744961135182	4.1814758090072	3.86074585542292	3.66589390086627
205821_at	4.27216617371761	4.31892114057328	4.36391024716004	4.43621140345333	4.86148012192769	4.72672628404977
205822_s_at	5.74951955215698	5.64425440195982	5.86205273959579	5.42476088405265	5.80305038295065	6.43512236618809
205823_at	6.91005320357004	6.40765292651647	6.98275821006675	6.44488861117458	6.00721092053413	5.88716586823546
205824_at	4.49632029648033	4.45536271127288	4.36807624445709	4.50806398306943	4.61700610558911	4.31256922750232
205825_at	3.37406280755332	3.06071013073457	2.91610921566613	3.87025196898116	4.42270811401393	3.83036452162826
205826_at	6.96356014931678	6.76749752850312	7.00387424992227	6.97306665101379	5.68458924865264	5.3965572990002
205827_at	4.6694185719766	4.76656452881343	4.60855152445675	5.08491174169418	4.58528164438154	4.35490253441136
205828_at	3.89612653382208	4.66793596740082	4.14324652245736	3.88926786653127	3.69344737741803	3.79722110188071
205829_at	3.24679171165629	3.31187823464375	3.24771576379447	3.60958365464906	3.33279806271905	3.32428700676828
205830_at	8.04294820987964	8.774200916883	8.27691352224587	8.09880327138252	8.00653140950442	7.59386807448498
205831_at	3.6303302584732	3.74574664480629	3.90894439963691	3.63568368516845	4.14723166009395	4.14915558043873
205832_at	4.71078815270402	4.62768507237288	4.49860305691169	4.49360160898601	5.43469621644078	4.80165067220708
205833_s_at	4.3073300669359	4.29354388580168	4.41475094987126	4.29231793956145	4.37810476491128	4.01817909817428
205834_s_at	4.11359423272287	4.08522636483998	3.96234598805709	4.29628406266065	3.98170763248018	4.00554327956343
205835_s_at	5.22088244242285	5.20262401667988	5.16553793080441	5.04539340425468	5.00744086738197	4.99759761483698
205836_s_at	5.94601517424349	5.95191903511357	5.85554653599884	5.4622606864521	5.77268378350614	5.54627223936577
205837_s_at	2.46949868614051	2.66045884200863	2.35266145271812	2.40560039331492	2.5380365781168	2.40560039331492
205838_at	2.67827524750672	2.7551900927103	2.86347136915803	2.98622161206712	2.79206551140275	2.73216532674165
205839_s_at	3.70936537641137	3.79083041386963	3.65392420056966	3.86858344634193	4.33960192914924	4.49486666042828
205840_x_at	3.77150998219176	3.82957877539399	3.53867116442098	3.70041598460618	3.66776973700292	3.86799174423004
205841_at	4.02347883654138	3.86645877603826	4.14277442658584	3.67321429573811	3.83479239052485	3.83275963909056
205842_s_at	6.06837641421933	6.15976219771529	6.12165482268836	6.04075347266907	6.53570145825906	6.5753221023761
205843_x_at	5.61236229595772	5.61028629682303	5.51305865945859	5.64349705543589	6.07742592508244	5.72070383061862
205844_at	2.65151464831104	2.6453908794473	2.57329968347892	2.65151464831104	2.74119446477092	2.67716452766293
205845_at	6.48475576553682	6.56586998942077	6.28296131155924	6.90911853952727	5.78678698675998	5.96157383314251
205846_at	3.11201867157055	3.04555367397254	2.99071259513854	3.17511077517101	3.24695340718366	3.12553994291982
205847_at	4.66482358863221	4.44561171559319	4.40371085068528	4.40274510151569	4.33725950422376	4.09053828176303
205848_at	4.51672017312591	5.78373535986548	5.11846524474832	4.27904376920129	9.90116849479053	9.47265361779797
205849_s_at	10.857996976036	10.7220077135695	10.8416882764842	10.7957659862797	11.126695145836	10.9207093589733
205850_s_at	2.62831800539327	2.62831800539327	2.56906357587925	2.63424897388093	2.65010727032234	2.67920836666938
205851_at	5.72936508450791	5.72055471509053	5.83525445715987	5.71237385324437	5.91110973939545	5.90186208486109
205852_at	3.30943214350564	2.99423118779783	3.01907874859414	3.29561452460275	3.20359375823928	3.15223939761442
205853_at	4.35448363483694	4.61351781700078	4.0216787447454	4.85472754633501	4.56721318608717	4.45073450200432
205854_at	9.48902486982121	9.64688910834639	9.55137164102817	9.63524731977653	10.2506500039128	10.2525716860045
205855_at	4.61116133269616	4.62727471875271	4.61811888084903	4.62971390099638	4.39780201823903	4.4307597326624
