	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679859_11B.CEL	GSM679860_12B.CEL
201123_s_at	9.1830486928661	8.77593396387554	9.29392800396052	9.30754713770033	8.92269474110435	8.81046260073917
201124_at	5.33353805090895	5.48060521949876	5.58944016700466	5.61284705939985	7.40541951322957	7.4576460361008
201125_s_at	10.0796962433761	9.86997287071352	10.0776660024974	9.92349644417157	10.8235807369302	10.8977672248364
201126_s_at	7.61320236475217	7.60590924786368	7.72009847427636	7.59717172254624	8.2270490170651	8.29367996522923
201127_s_at	7.91194745418271	7.88690445562606	7.93692892628269	7.94170989518185	7.38953278075503	7.31001633321157
201128_s_at	11.0141411372896	10.9354751113443	11.0513946093502	10.9804181913144	10.5915324226885	10.4690739631016
201129_at	9.84505301951183	9.82622337973192	9.91440341010116	9.73387860882394	9.26050129021897	8.98349542189604
201130_s_at	3.02061351063941	3.01091018861932	2.86849691155093	3.11971628729842	2.92280070747873	3.04390923531813
201131_s_at	2.49351230460939	2.53051563667061	2.3619711148906	2.67401442370151	2.44879639582996	2.47288500927064
201132_at	9.03279050310372	9.12625736425975	9.02070175433073	9.27001650579895	9.63848349632237	9.41476714821787
201133_s_at	8.94011443149107	9.08546577367283	8.93070756521444	9.07045178399307	10.123853818357	9.90606570713883
201134_x_at	12.1442764127612	12.1177885281667	12.176479221279	12.0531188706386	11.8018343092766	11.6582360245617
201135_at	10.8601725784636	10.8128984460484	10.94297661514	10.7585086530171	10.5494449357987	10.4907093448657
201136_at	9.68824577361656	9.9553940401268	9.75144073207982	10.325734366153	9.27500602097678	9.27433272137564
201137_s_at	3.41029591733631	3.17678950669167	3.42686134185718	3.34353572401979	3.13115612270902	3.16422268454014
201138_s_at	10.7563278181898	10.7580292548463	10.7865500661601	10.9507079294706	10.6252627639369	10.4212381386292
201139_s_at	10.1848087572606	10.1379985114856	10.2545204245057	10.2556186285764	9.78014500729623	9.40174447496313
201140_s_at	8.14550901355596	7.6691310859947	8.16709943150959	8.03439206094944	7.88066131319412	7.64593416663213
201141_at	6.24547659086042	5.58200040918013	6.53867925616371	5.52271735072216	8.62632316680669	8.47798302763084
201142_at	9.27282035035451	9.09366240268402	9.35463737996559	9.50553189066314	8.95087299092366	8.98725412901474
201143_s_at	9.7961252411873	9.49600284990536	9.69128830736356	10.2792187088927	9.54131756507404	9.68967915923013
201144_s_at	11.1587292624635	11.0091550865553	11.1477146626219	11.1910862447344	9.87000728677482	9.7013625726924
201145_at	10.0478545538006	9.90840669945824	10.0523543631418	9.9717909379775	9.59923541502915	9.37218049818737
201146_at	10.3139273715858	10.4009006599446	10.3254819269456	10.323285728191	11.1537003333005	10.9911394882899
201147_s_at	8.7354537317955	8.06797974766363	8.87846999543497	8.81900835008157	8.68880623700823	8.73182449867473
201148_s_at	7.92783352438739	7.49130398827581	8.02761322690807	8.10120048595738	8.60498751448171	8.45777796301907
201149_s_at	8.11465845261013	7.62042327447572	8.2550172506978	8.43027147779167	8.59527911388045	8.46967998226872
201150_s_at	8.90352845227152	8.16342731077313	9.0227269954939	8.52485005068137	9.8084430455084	9.61110957707097
201151_s_at	7.27756158575886	7.34413975486927	7.18224257450047	7.59553827086513	8.35767495495172	7.88981449182495
201152_s_at	9.28941285664708	9.42158126337683	9.31892159325103	9.33748241070538	10.1815293194862	9.98750060866996
201153_s_at	9.85903466668397	9.91393217811374	9.7910346429033	9.62772623193809	10.202837681894	10.3031916333349
201154_x_at	12.7392482015463	12.7967971363077	12.7802955668357	12.8077806148245	12.905822633981	12.8048121222132
201155_s_at	9.65112058043513	9.63720274752461	9.76274119512043	9.59665835256506	9.17692377356501	9.15902203045232
201156_s_at	7.90415609075027	7.54566600935161	8.04398423172612	7.90482298019233	7.78682569322468	7.48721218468218
201157_s_at	9.78543723909702	9.76295072087315	9.80155658155053	9.73828130063153	9.04269292456692	8.92928616156349
201158_at	6.86313830265482	6.65292381897371	6.95566976717739	6.84534787542398	6.84457555943833	6.72695060245613
201159_s_at	5.84937295269243	5.7909629213964	6.05209191512963	5.90275431467511	6.3066775027898	5.83209690161664
201160_s_at	11.6524317302295	11.4091175800455	11.6066385542984	11.6510185145211	11.4688644330599	11.4133769685852
201161_s_at	10.7102747294585	10.5434444616214	10.7524272364078	11.0968783774581	10.7659701591531	10.7536902935849
