	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679856_19A.CEL	GSM679855_15A.CEL	GSM679854_11A.CEL
219046_s_at	5.76387559852565	5.61429696948264	5.75385126618524	5.47425999538729	6.05135401195324	6.18948497885311	6.07872999202315
219047_s_at	6.27309560296442	6.27632281601995	6.36348896881847	6.61646794078575	5.40811953337875	5.50474564132131	5.73536666523952
219048_at	6.10960612356161	6.26067928784154	6.10960612356161	6.0507766078028	6.17402876385953	6.03216305072908	6.10960612356161
219049_at	2.83783231849973	2.94595689015498	2.90342171400598	2.78586105725042	4.38438167435893	4.39259277799633	5.35610569605691
219050_s_at	6.78005782679666	6.76268732558677	6.73250619240321	7.07799858986649	6.56709957466174	6.55380547706195	6.60280439897263
219051_x_at	4.89002508192663	4.62056807072554	4.76281039694783	4.87321250846254	4.76281039694783	4.76281039694783	4.68176834421827
219052_at	7.15750901495923	7.07399071413496	6.99258411236501	7.22089240111648	7.15750901495923	7.15750901495923	7.190436901698
219053_s_at	8.4879347721879	8.35214970044669	8.56440465372038	8.35731248934614	8.29699901033069	8.34012216373139	8.04779563711245
219054_at	10.6650341532625	8.81440497251481	10.7186273819411	8.79040075591176	8.05150647831125	7.84581463610201	6.57520706999857
219055_at	7.64919722120791	7.78681998173263	7.69353819285505	7.44428846764343	8.56435824692628	8.5159038210895	8.23066523170325
219056_at	6.81718882517642	7.00347404364184	6.85506826714137	6.84433701851242	5.73853113690737	5.7311984712633	5.84422546309926
219057_at	5.49809100046067	5.49809100046067	5.49809100046067	5.49809100046067	5.42049528455206	5.52306356568695	5.49809100046067
219058_x_at	5.33921282572513	5.33921282572513	5.39582929111383	5.38846102511817	5.48218420316304	5.24384844934388	5.27619709258517
219059_s_at	3.46980122685719	3.66541128026871	3.26973981050561	3.52528292400423	3.35416220130786	3.25768415729586	3.45248843245462
219060_at	8.93426469671752	8.7939856845689	8.9459760441672	9.10087624302628	8.58010071459406	8.63123621302777	8.36621556952511
219061_s_at	8.30483698397565	8.25358567095004	8.35052860516312	8.16672628451443	8.23049467861894	8.00531493631695	8.25358567095004
219062_s_at	6.04782100925547	6.24609309494598	6.05485550570766	5.55740646576525	5.53651566469424	5.81358228110726	5.93080958250858
219063_at	7.11972957474724	7.10158144732168	7.10178166972514	7.04404999131395	6.90559752463647	6.91639019479256	6.87517251545092
219064_at	4.41063602181502	4.50719247614375	4.41063602181502	4.62416705698389	4.54642333359938	4.54642333359938	4.87194702736669
219065_s_at	9.75076013159965	9.66059757358135	9.74421334414778	9.66059757358135	9.61907140359479	9.53953613041335	9.69955814621762
219066_at	7.28295950299462	7.08885156220099	7.22381178437208	7.12562961427051	7.41744656926329	7.28748906655462	6.9296595883276
219067_s_at	9.28854909699762	9.27158383673762	9.48576034579795	9.19769491414226	8.4670707928148	8.49552975143474	8.57312841673684
219068_x_at	8.02374048172347	7.73988885442391	7.92387262970511	8.05544448674183	7.04737340582223	7.17240957749726	7.22821677862057
219069_at	7.94034747975867	8.04233342528099	8.17328071926304	8.3091865206817	7.69994540865248	7.85966777971428	7.98103919678742
219070_s_at	6.85009719294663	6.60915185697624	6.90862305028823	6.88502043079798	7.32727829040038	7.29739206861741	7.20821402112982
219071_x_at	8.43007152655268	8.20062700263909	8.54588822746726	8.6775342221414	7.66106548678049	7.64089436113115	7.26190990413041
219072_at	8.51425737194691	8.4919297459193	8.49206047860422	8.48768927193285	8.74041615715593	8.6925934340981	8.9304537943947
219073_s_at	5.63386279096294	5.45175960125019	5.89123199458911	5.40216480759815	6.96852113785785	7.14471122624272	7.55530407007618
219074_at	8.64451748541678	8.53924972191027	8.7482025106195	8.72735061593032	8.67021477629134	8.67539602225248	8.67563563698218
219075_at	5.57108199738135	5.55849935429068	5.34225020008862	5.66625855931652	6.1851933582037	6.23632938391947	5.92143440324628
219076_s_at	8.85951159694494	8.71553732982585	8.86876183336711	8.60853944890392	8.62360086381731	8.51403894933621	8.47284195452007
219077_s_at	8.28443350499827	8.32557912916266	8.5743839082182	8.16153012385274	7.13480251272418	7.05134820409181	6.99704217207841
219078_at	5.21723302771695	5.38146012699434	5.22553542906354	5.36627057710453	4.8666204804405	5.21723302771695	5.21723302771695
219079_at	7.37653545586023	7.52267805234349	7.54898025331748	7.47885308238147	6.8317366031633	6.9015632058198	7.23318602921476
219080_s_at	7.87535417362744	7.69381530293049	7.91890372738195	7.5715442065463	7.98002715083964	7.93016615237121	7.9898455505247
219081_at	7.77487536598861	7.85987793108907	7.67759309792731	7.85296395083865	7.23312124123114	7.20590986834725	7.19762616255506
219082_at	5.81610682464783	5.63818241145317	5.81772424008849	5.85485799126484	5.70977270957739	5.59162603370084	5.78609654587384
219083_at	8.98883165366605	9.14701510756541	9.18391517164451	9.03094866857433	8.78557917761701	8.79125126985005	8.89095163093445
219084_at	6.1851933582037	6.38597597692135	6.3775110011428	6.16698330474854	6.1793535502502	6.1851933582037	6.11628009937457
219085_s_at	4.80660120971529	4.66290505543198	4.66290505543198	4.62107919400303	4.6325663231851	4.66290505543198	4.66290505543198
219086_at	4.75581831491332	4.78451261848579	4.74507891595262	4.81893424785329	5.06843421690414	5.28803209428772	4.99712365974363
219087_at	3.78026133817365	3.76490762653568	4.24216798904643	3.8205400679396	5.04763819092792	4.59839713605419	5.86729240398712
219088_s_at	6.89544504695857	6.80900866165059	6.89197853774235	6.9784365542565	6.25509785370642	6.29033600490199	6.40764949103896
219089_s_at	7.25101909630494	7.17969739181011	7.16901196045529	7.28352688685818	6.7913717958858	6.88795216197421	6.80381721730684
219090_at	9.07667888383736	9.34341031777637	9.24298622225244	9.03474484018782	7.81595929587257	7.79893183050233	8.19876678238779
219091_s_at	2.49509969612053	3.12357669607385	2.63993392982956	2.76135227933659	2.76135227933659	2.7017687131472	2.8151169952216
219092_s_at	6.91918979128608	6.85200224249412	6.9404189220537	6.87326955940872	6.38583101914194	6.39930049315124	6.46375992949325
219093_at	5.04746759588922	4.79521267825587	4.90672366524232	4.96934796175705	5.04746759588922	5.2618321002823	5.04746759588922
219094_at	5.55018688017685	5.24830451105354	5.76082217232968	5.29268626073259	4.5123451815362	3.85185565659915	4.385653522401
219095_at	5.61623496368035	5.77236846496444	5.60943619896018	5.84396039185919	5.77264526755348	5.72927630138792	5.72927630138792
